nox (night)	nocturnal	equinox	equinoctial																																																																																																																																																																										
numerus (number)	enumerate	enumeration	innumerable	number	numeral	numerical	numerous	outnumber	supernumerary	unnumbered																																																																																																																																																																			
nūntius (messenger / message)	announce	announcement	announcer	annunciation	denounce	denunciation	enunciate	enunciation	pronounce	pronouncement	pronunciation	renounce	renunciation	unannounced																																																																																																																																																															
oculus (eye)	antler	binocular	eyelet	inoculate	inoculation	inveigle	monocle	ocular	oculist																																																																																																																																																																				
odium (hate)	q.v. odī																																																																																																																																																																												
ōrātiō (speech)	q.v. orō																																																																																																																																																																												
ōrātor (speaker)	q.v. orō																																																																																																																																																																												
ordō (order / rank)	coordinate	coordination	disorder	extraordinary	inordinate	insubordinate	ordain	order	orderly	ordinance	ordinary	ordination	ordnance	preordain	subordinate																																																																																																																																																														
ōs (mouth / face)	oral	orifice	usher																																																																																																																																																																										
os (bone)	osprey	ossify																																																																																																																																																																											
ōtium (leisure)	negotiate	negotiation																																																																																																																																																																											
pānis (bread)	accompaniment	accompany	appanage	companion	companionship	company	pannier	pantry																																																																																																																																																																					
parēns (parent)	q.v. pariō																																																																																																																																																																												
pars (part)	apart	apartment	compartment	counterpart	depart	departed	department	departure	dispart	impart	impartial	jeopardize	jeopardy	non-partisan	parcel	part	partake	partial	participant	participate	participation	participle	particle	particular	partisan	partition	partner	party	repartee	tripartite																																																																																																																																															
pater (father)	padre	paternal	paternity	patrician	patrimony	patrimonial	patron	patronage	patronize	paternalism	paternalistic	patriot	patriotism	repatriate	expatriate	Patrick	Patricia	patricide																																																																																																																																																											
pātria (country)	q.v. pater																																																																																																																																																																												
patrōnus (patron)	q.v. pater																																																																																																																																																																												
pāx (peace)	appease	pacific	pacifism	pacifist	pacify	peace	pay	payable	payment	peace	peaceful	prepay	repay																																																																																																																																																																
pecūnia (money)	pecuniary	impecunious																																																																																																																																																																											
perīculum (danger)	imperil	peril	perilous																																																																																																																																																																										
persōna (person)	impersonal	impersonate	person	personage	persona	personal	personality	personify	personification	persona non grata																																																																																																																																																																			
pēs (foot)	centipede	expedient	expediency	expedite	expedition	expeditious	impeach	pawn	pedal	pedestal	pedestrian	pedigree	peon	pioneer	quadruped	trivet	vamp																																																																																																																																																												
pictūra (picture)	q.v. pingō																																																																																																																																																																												
piscis (fish)	Pisces	piscatory	piscine	porpoise																																																																																																																																																																									
poena (punishment)	penal	penalty	penalize	pain	subpoena - q.v. pūniō																																																																																																																																																																								
poēta (poet)	poet	poetics	poetical																																																																																																																																																																										
pompa (parade)	pompous	pomp																																																																																																																																																																											
pontifex (priest)	pōns (bridge) + faciō (make)																																																																																																																																																																												
populus (people)	depopulate	depopulation	dispeople	people	populace	popular	popularity	populate	population	populist	populous	pub	public	publication	publicist	publicity	publish	pueblo	republic	republican	republicanism	unpopular																																																																																																																																																							
porta (door / gate)	porch	portal	portcullis	porter	porthole	portico																																																																																																																																																																							
portus (harbor)	airport	importunate	importune	inopportune	opportune	opportunity	passport	port	seaport																																																																																																																																																																				
pretium (price)	appraisal	appraise	appreciable	appreciate	depreciate	depreciation	dispraise	praise	precious	price	prize																																																																																																																																																																		
prōvincia (province)	province	provincial	Provencal	provincialism																																																																																																																																																																									
prūdentia (wisdom)	q.v. videō																																																																																																																																																																												
puer (boy)	puerile																																																																																																																																																																												
pullus (chicken)	pony	poultry	pullet																																																																																																																																																																										
pulmō (lung)	pulmonary																																																																																																																																																																												
rēs (thing)	real	realism	realist	realistic	reality	realization	realize	really	realty	republic	republican	unreal																																																																																																																																																																	
rēx (king)	q.v. regō																																																																																																																																																																												
salūs (welfare / safety / health)	salubrious	salutary	salutation	salute																																																																																																																																																																									
sanguis (blood)	consanguinity	sanguinary	sanguine																																																																																																																																																																										
sapientia (wisdom)	q.v. sapiō																																																																																																																																																																												
sacrificium (sacrifice)	sacer (holy) + faciō (make)																																																																																																																																																																												
saxum (rock)	saxicolous																																																																																																																																																																												
scientia (knowledge)	q.v. sciō																																																																																																																																																																												
schola (school)	school	schoolhouse	scholastic	scholar	scholarship	preschool																																																																																																																																																																							
senātus (senate)	q.v. senex																																																																																																																																																																												
senex (old / old man)	monsieur	seigneur	senate	senatorial	senile	senility	senor	senora	senorita	signor	signora	signorina	sir	sire	sirrah	surly																																																																																																																																																													
sententia (thought / opinion)	q.v. sentiō																																																																																																																																																																												
sepulcrum (tomb)	sepulcher	sepulchral	sepulture																																																																																																																																																																										
servus (slave)	concierge	deserve	dessert	serf	serfdom	sergeant	servant	serve	server	service	servile	servility	servitude	subservient	subservience	undeserved																																																																																																																																																													
signum (sign)	assign	assignment	consign	consignment	countersign	design	designate	ensign	insignificant	resign	resignation	seal	sign	signal	signalize	signature	signet	significant	signify	signpost																																																																																																																																																									
silva (forest / woods)	savage	sylvan	Pennsylvania																																																																																																																																																																										
socius (ally / friend)	associate	association	dissociate	sociability	sociable	social	socialism	socialist	socialize	society	sociologist	sociology	unsociable																																																																																																																																																																
sōl (sun)	parasol	solar	solstice																																																																																																																																																																										
somnium (dream)	q.v. somnus																																																																																																																																																																												
somnus (sleep)	insomnia	insomniac	somnambulate	somnambulist	somniferous																																																																																																																																																																								
sonus (sound)	consonance	consonant	dissonance	dissonant	resonance	resonant	resound	sonata	sonnet	sonorous	sound	soundless	unison																																																																																																																																																																
soror (sister)	cousin	sorority																																																																																																																																																																											
spēs (hope)	q.v. spērō																																																																																																																																																																												
supercilium (eyebrow)	supercilious																																																																																																																																																																												
taberna (tavern / shop)	tabernacle	tavern																																																																																																																																																																											
tabula (tablet)	table	tableau	tablecloth	tablespoon	tablet	tabular	tabulate	tabulation																																																																																																																																																																					
tempus (time)	contemporaneous	contemporary	extemporaneous	tempest	tempestuous	tempo	temporal	temporary	tense																																																																																																																																																																				
tergum (back)	tergiversate																																																																																																																																																																												
terra (land)	disinter	inter	interment	Mediterranean	subterranean	terrace	terrestrial	terrier	territory	territorial																																																																																																																																																																			
timor (fear)	q.v. timeō																																																																																																																																																																												
truncus (trunk of the body)	entrench	entrenchment	intrench	intrenchment	retrentch	trench	trenchant	truncheon	trunk																																																																																																																																																																				
tumultus (riot / uproar)	tumult	tumultuary	tumultuous																																																																																																																																																																										
turba (crowd)	disturb	disturbance	imperturbable	perturb	perturbation	trouble	troublesome	turbid	turbine	turbulence	turbulent	undisturbed	untroubled																																																																																																																																																																
umbra (shadow / shade)	somber	umbrage	umbrella																																																																																																																																																																										
unda (wave)	abound	abundance	abundant	inundate	inundation	redound	redundancy	redundant	surround	undulate	undulation																																																																																																																																																																		
urbs (city)	interurban	suburb	urban	urbane	urbanity																																																																																																																																																																								
